130965,130965,130965
128887,128887,128887
120773,120773,120773
117460,117460,117460
108820,108820,108820
104582,104582,104582
94549.1,94549.1,94549.1
81388.4,81388.4,81388.4
79402.7,79402.7,79402.7
66353.2,66353.2,66353.2
62775.6,62775.6,62775.6
49845.7,49845.7,49845.7
45731.8,45731.8,45731.8
33642,33642,33642
28372,28372,28372
15457.5,15457.5,15457.5
1393.87,1393.87,1393.87
-2423.08,-2423.08,-2423.08
-15917.9,-15917.9,-15917.9
-19329.6,-19329.6,-19329.6
-31987.8,-31987.8,-31987.8
-35906.4,-35906.4,-35906.4
-47278.1,-47278.1,-47278.1
-51191.4,-51191.4,-51191.4
-61719.7,-61719.7,-61719.7
-65405.6,-65405.6,-65405.6
-74874.8,-74874.8,-74874.8
-78002.9,-78002.9,-78002.9
-86266.5,-86266.5,-86266.5
-88643.5,-88643.5,-88643.5
-95151.7,-95151.7,-95151.7
-97193.6,-97193.6,-97193.6
-102012,-102012,-102012
-103227,-103227,-103227
-106270,-106270,-106270
-107040,-107040,-107040
-108067,-108067,-108067
-108232,-108232,-108232
-107101,-107101,-107101
-106727,-106727,-106727
-103350,-103350,-103350
-102490,-102490,-102490
-97000.4,-97000.4,-97000.4
-95622.7,-95622.7,-95622.7
-87954.8,-87954.8,-87954.8
-86115.6,-86115.6,-86115.6
-77339.5,-77339.5,-77339.5
-73901,-73901,-73901
-63377.5,-63377.5,-63377.5
-59356.3,-59356.3,-59356.3
-47909.2,-47909.2,-47909.2
-42843.1,-42843.1,-42843.1
-29890.7,-29890.7,-29890.7
-13692.8,-13692.8,-13692.8
-9969.85,-9969.85,-9969.85
4673.54,4673.54,4673.54
6627.64,6627.64,6627.64
10519.8,10519.8,10519.8
26596.2,26596.2,26596.2
33393.3,33393.3,33393.3
48652.1,48652.1,48652.1
50438.4,50438.4,50438.4
55472.5,55472.5,55472.5
70995,70995,70995
72969.3,72969.3,72969.3
78189.9,78189.9,78189.9
95082.4,95082.4,95082.4
112782,112782,112782
117252,117252,117252
133987,133987,133987
138931,138931,138931
154685,154685,154685
158805,158805,158805
172419,172419,172419
177614,177614,177614
189362,189362,189362
190698,190698,190698
201679,201679,201679
204427,204427,204427
213839,213839,213839
216557,216557,216557
223317,223317,223317
225730,225730,225730
230242,230242,230242
231719,231719,231719
233852,233852,233852
234411,234411,234411
233981,233981,233981
233653,233653,233653
230414,230414,230414
229294,229294,229294
223918,223918,223918
221517,221517,221517
213371,213371,213371
201924,201924,201924
199614,199614,199614
185995,185995,185995
183039,183039,183039
168774,168774,168774
163610,163610,163610
148002,148002,148002
146096,146096,146096
141301,141301,141301
124611,124611,124611
122360,122360,122360
116873,116873,116873
97119,97119,97119
72209.2,72209.2,72209.2
69440.2,69440.2,69440.2
44442.3,44442.3,44442.3
40363,40363,40363
15654.5,15654.5,15654.5
10947.6,10947.6,10947.6
-11959.8,-11959.8,-11959.8
-18911,-18911,-18911
-41240.4,-41240.4,-41240.4
-48288.5,-48288.5,-48288.5
-68922.2,-68922.2,-68922.2
-76859.4,-76859.4,-76859.4
-96448,-96448,-96448
-117934,-117934,-117934
-121745,-121745,-121745
-140097,-140097,-140097
-144740,-144740,-144740
-160119,-160119,-160119
-164918,-164918,-164918
-177495,-177495,-177495
-182049,-182049,-182049
-191385,-191385,-191385
-192782,-192782,-192782
-195197,-195197,-195197
-202305,-202305,-202305
-207290,-207290,-207290
-208154,-208154,-208154
-209631,-209631,-209631
-209827,-209827,-209827
-208071,-208071,-208071
-202956,-202956,-202956
-201627,-201627,-201627
-193848,-193848,-193848
-190972,-190972,-190972
-179574,-179574,-179574
-175827,-175827,-175827
-161458,-161458,-161458
-156390,-156390,-156390
